Item,black,,,,,,,,,,,,,,
Type,ai assisted human,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ground Truth,,,,,,,,,,,,,,,
number of objects,131,,,,,,,,,,,,,,
number of defects,5,,,,,,,,,,,,,,
number of rounds,20,,,,,,,,,,,,,,
GT Grand Total Count,2720,,,,,,,,,,,,,,
Observed Grand Total Count,2343,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Round,Min,Sec,Sec/100,Defects for Round,Count 1,Count 2,Count 3,Count 4,Count 5,Count 6,Count 7,Count 8,Count 9,Observed Total Count for Round,Accuracy for Round
1,4,42,62,4,17,19,22,20,13,12,21,11,0,139,1.0221
2,3,53,59,3,14,16,17,14,14,12,11,11,17,129,0.9485
3,3,54,38,4,9,13,19,15,17,17,15,25,0,134,0.9853
4,4,36,47,1,12,31,29,23,16,20,12,0,0,144,1.0588
5,4,16,81,3,12,19,13,19,15,25,13,17,0,136,1
6,4,10,97,0,13,16,14,25,23,15,19,6,0,131,0.9632
7,3,44,55,5,9,12,13,16,13,13,29,10,0,120,0.8824
8,3,30,69,2,10,11,14,10,22,13,13,12,0,107,0.7868
9,2,44,66,4,17,10,11,8,21,20,19,0,0,110,0.8088
10,2,11,15,1,19,15,21,15,22,9,0,0,0,102,0.75
11,3,44,75,3,11,10,7,10,19,7,9,12,15,103,0.7574
12,2,45,62,5,13,12,13,21,19,8,22,0,0,113,0.8309
13,2,36,80,1,12,8,11,17,12,7,17,9,0,94,0.6912
14,3,17,13,5,11,10,11,11,16,13,15,11,0,103,0.7574
15,2,42,90,2,17,14,13,17,13,23,11,0,0,110,0.8088
16,2,8,31,2,20,13,28,26,24,0,0,0,0,113,0.8309
17,1,41,92,1,19,13,31,31,19,0,0,0,0,114,0.8382
18,1,56,46,5,12,18,7,15,22,37,0,0,0,116,0.8529
19,1,49,74,0,12,23,24,25,30,0,0,0,0,114,0.8382
20,1,57,70,5,15,9,32,32,18,0,0,0,0,111,0.8162
