Item,long screw,,,,,,,,,,
Type,ai assisted human,,,,,,,,,,
,,,,,,,,,,,
Ground Truth,,,,,,,,,,,
number of objects,45,,,,,,,,,,
number of defects,6,,,,,,,,,,
number of rounds,20,,,,,,,,,,
GT Grand Total Count,1020,,,,,,,,,,
Observed Grand Total Count,929,,,,,,,,,,
,,,,,,,,,,,
Round,Min,Sec,Sec/100,Defects for Round,Count 1,Count 2,Count 3,Count 4,Count 5,Observed Total Count for Round,Accuracy for Round
1,1,27,54,4,9,11,10,12,0,46,0.902
2,2,7,43,8,6,11,7,6,7,45,0.8824
3,1,50,32,5,7,11,11,9,4,47,0.9216
4,1,17,87,4,4,9,11,14,0,42,0.8235
5,1,30,89,4,9,9,13,9,0,44,0.8627
6,1,27,67,6,11,8,6,9,9,49,0.9608
7,1,19,89,2,7,12,11,12,1,45,0.8824
8,1,14,69,1,11,9,9,15,0,45,0.8824
9,1,22,44,4,6,8,13,17,0,48,0.9412
10,1,13,60,2,10,15,18,0,0,45,0.8824
11,1,16,82,3,9,12,12,11,0,47,0.9216
12,1,44,2,3,7,11,9,17,0,47,0.9216
13,1,24,90,2,13,7,12,13,0,47,0.9216
14,1,37,20,3,11,9,10,14,0,47,0.9216
15,1,37,94,4,9,9,9,10,8,49,0.9608
16,1,12,24,1,14,14,20,0,0,49,0.9608
17,1,27,17,3,7,10,10,11,5,46,0.902
18,1,30,49,3,9,8,13,8,8,49,0.9608
19,1,9,21,2,7,13,7,14,0,43,0.8431
20,1,8,82,2,10,12,14,11,0,49,0.9608
