Item,nut,,,,,,,,,,
Type,ai assisted human,,,,,,,,,,
,,,,,,,,,,,
Ground Truth,,,,,,,,,,,
number of objects,137,,,,,,,,,,
number of defects,3,,,,,,,,,,
number of rounds,20,,,,,,,,,,
GT Grand Total Count,2800,,,,,,,,,,
Observed Grand Total Count,2787,,,,,,,,,,
,,,,,,,,,,,
Round,Min,Sec,Sec/100,Defects for Round,Count 1,Count 2,Count 3,Count 4,Count 5,Observed Total Count for Round,Accuracy for Round
1,1,55,84,3,20,42,34,36,6,141,1.0071
2,1,23,5,0,26,27,39,38,7,137,0.9786
3,1,30,69,1,29,36,41,31,0,138,0.9857
4,1,12,22,1,48,42,36,11,0,138,0.9857
5,1,25,30,2,37,32,33,34,0,138,0.9857
6,1,6,90,3,34,38,37,29,0,141,1.0071
7,1,12,25,3,26,26,28,35,24,142,1.0143
8,1,4,94,2,39,52,47,0,0,140,1
9,1,28,85,2,37,36,41,24,0,140,1
10,1,6,47,3,49,43,45,0,0,140,1
11,1,8,19,0,41,48,49,0,0,138,0.9857
12,1,12,34,3,47,50,40,0,0,140,1
13,1,8,79,1,43,35,40,20,0,139,0.9929
14,1,5,87,3,55,46,37,0,0,141,1.0071
15,1,19,35,1,49,39,49,0,0,138,0.9857
16,1,8,33,0,46,48,43,0,0,137,0.9786
17,1,7,9,3,52,46,40,0,0,141,1.0071
18,0,57,12,3,43,39,55,0,0,140,1
19,0,54,39,2,40,50,47,0,0,139,0.9929
20,0,56,27,1,42,44,32,20,0,139,0.9929
