Item,rivet,,,,,,,,,,,
Type,ai assisted human,,,,,,,,,,,
,,,,,,,,,,,,
Ground Truth,,,,,,,,,,,,
number of objects,95,,,,,,,,,,,
number of defects,10,,,,,,,,,,,
number of rounds,20,,,,,,,,,,,
GT Grand Total Count,2100,,,,,,,,,,,
Observed Grand Total Count,1741,,,,,,,,,,,
,,,,,,,,,,,,
Round,Min,Sec,Sec/100,Defects for Round,Count 1,Count 2,Count 3,Count 4,Count 5,Count 6,Observed Total Count for Round,Accuracy for Round
1,2,5,99,5,19,16,16,17,19,0,92,0.8762
2,1,41,85,5,16,13,15,22,13,0,84,0.8
3,1,28,41,3,23,20,24,18,0,0,88,0.8381
4,1,34,45,3,16,19,21,22,6,0,87,0.8286
5,1,34,97,5,12,21,23,20,0,0,81,0.7714
6,1,14,47,5,14,16,20,19,0,0,74,0.7048
7,1,47,42,6,20,16,17,18,10,0,87,0.8286
8,1,50,14,5,14,22,24,19,12,0,96,0.9143
9,1,30,94,3,20,14,25,22,0,0,84,0.8
10,1,27,87,1,11,22,16,25,14,0,89,0.8476
11,1,43,0,3,19,35,26,19,0,0,102,0.9714
12,1,41,44,5,19,16,9,14,13,10,86,0.819
13,1,51,74,9,21,18,12,10,16,0,86,0.819
14,1,48,95,2,15,19,18,14,12,0,80,0.7619
15,2,3,9,4,12,20,16,14,12,8,86,0.819
16,1,31,10,4,10,17,13,15,13,19,91,0.8667
17,1,46,74,3,14,15,19,14,14,7,86,0.819
18,1,38,19,2,15,18,15,15,21,0,86,0.819
19,1,58,99,10,10,11,19,12,9,14,85,0.8095
20,2,17,27,3,15,12,14,13,16,18,91,0.8667
