Item,tek-screw,,,,,,,,,,,,,
Type,ai assisted human,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Ground Truth,,,,,,,,,,,,,,
number of objects,87,,,,,,,,,,,,,
number of defects,14,,,,,,,,,,,,,
number of rounds,20,,,,,,,,,,,,,
GT Grand Total Count,2020,,,,,,,,,,,,,
Observed Grand Total Count,1724,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Round,Min,Sec,Sec/100,Defects for Round,Count 1,Count 2,Count 3,Count 4,Count 5,Count 6,Count 7,Count 8,Observed Total Count for Round,Accuracy for Round
1,3,54,97,9,15,19,9,7,7,7,9,12,94,0.9307
2,2,52,88,3,11,15,11,20,5,13,12,0,90,0.8911
3,2,59,73,11,11,8,13,11,19,21,0,0,94,0.9307
4,1,53,60,8,14,25,17,15,0,0,0,0,79,0.7822
5,2,27,60,4,29,24,26,0,0,0,0,0,83,0.8218
6,2,0,40,7,15,27,35,0,0,0,0,0,84,0.8317
7,2,10,73,0,21,30,25,0,0,0,0,0,76,0.7525
8,1,44,12,9,32,36,15,0,0,0,0,0,92,0.9109
9,1,59,12,9,30,32,10,0,0,0,0,0,81,0.802
10,2,12,48,4,20,19,15,21,7,0,0,0,86,0.8515
11,2,8,2,8,15,12,16,21,15,0,0,0,87,0.8614
12,2,37,90,1,20,19,22,21,0,0,0,0,83,0.8218
13,2,20,63,9,30,40,9,0,0,0,0,0,88,0.8713
14,1,38,42,8,18,19,1,16,19,0,0,0,81,0.802
15,2,24,88,6,13,23,14,12,12,0,0,0,80,0.7921
16,2,20,45,2,15,17,14,15,22,0,0,0,85,0.8416
17,2,28,83,12,14,12,20,17,17,0,0,0,92,0.9109
18,2,42,96,4,17,20,16,12,15,3,0,0,87,0.8614
19,2,35,60,9,17,21,18,17,11,0,0,0,93,0.9208
20,2,42,6,5,17,21,8,10,14,14,0,0,89,0.8812
