Item,System_Type,Mean_Time_Sec,Std_Dev_Time_Sec,Mean_Accuracy,Std_Dev_Accuracy,Mean_Defects_Observed,Std_Dev_Defects_Observed,Num_Rounds
black,ai assisted human,187.36,58.95,0.86,0.1,2.8,1.77,20
black,human,143.15,44.2,1.03,0.01,5.0,0.0,20
long screw,ai assisted human,87.06,14.83,0.91,0.04,3.3,1.69,20
long screw,human,93.06,66.22,1.0,0.0,6.0,0.0,20
nail,ai assisted human,90.75,20.66,0.89,0.06,1.85,1.57,20
nut,ai assisted human,73.21,14.26,1.0,0.01,1.85,1.14,20
nut,human,133.92,42.18,0.99,0.01,3.0,0.0,20
rivet,ai assisted human,103.85,14.96,0.83,0.06,4.3,2.2,20
rivet,human,170.74,36.14,1.0,0.01,9.8,0.7,20
tek-screw,ai assisted human,144.77,30.59,0.85,0.05,6.4,3.36,20
tek-screw,human,130.63,66.47,0.99,0.01,14.6,0.75,20
washer,ai assisted human,38.68,13.45,0.97,0.01,0.9,0.85,20
washer,human,72.13,28.52,1.0,0.0,3.0,0.0,20
